TXN_BATCH_ID       CUST_ID    TRANS_TYPE  SETTLEMENT_USD ROUTING_NUM ACC_STATUS
ACH-20260301-1000  C64784     CREDIT      00013747.67    075710355   SETTLED
ACH-20260301-1001  C55782     CREDIT      00001509.04    011450029   SETTLED
ACH-20260301-1002  C36077     DEBIT       00004437.24    056680116   RETURNED_NSF
ACH-20260301-1003  C70515     DEBIT       00017652.63    021888083   RETURNED_ACT_CLOSED
ACH-20260301-1004  C57419     CREDIT      00020978.58    038299065   RETURNED_ACT_CLOSED
ACH-20260301-1005  C74900     CREDIT      00011151.36    016308170   SETTLED
ACH-20260301-1006  C86491     CREDIT      00005785.86    099662081   SETTLED
ACH-20260301-1007  C69142     DEBIT       00011269.71    039883663   RETURNED_NSF
ACH-20260301-1008  C21915     CREDIT      00022159.36    032976060   RETURNED_NSF
ACH-20260301-1009  C56566     CREDIT      00004530.57    025475279   SETTLED
ACH-20260301-1010  C31678     DEBIT       00001957.17    058894013   RETURNED_NSF
ACH-20260301-1011  C78494     DEBIT       00007470.30    053781689   SETTLED
ACH-20260301-1012  C27028     DEBIT       00021737.39    076749654   SUSPENDED_AML
ACH-20260301-1013  C84847     CREDIT      00016460.45    074028064   SETTLED
ACH-20260301-1014  C75077     CREDIT      00013787.21    014973562   RETURNED_ACT_CLOSED
ACH-20260301-1015  C71385     CREDIT      00011393.85    033532932   SETTLED
ACH-20260301-1016  C17536     DEBIT       00011121.71    043115769   SETTLED
ACH-20260301-1017  C46160     CREDIT      00003056.26    058635414   SETTLED
ACH-20260301-1018  C18675     CREDIT      00005363.88    092851024   SUSPENDED_AML
ACH-20260301-1019  C19363     DEBIT       00010565.86    088187270   SETTLED
ACH-20260301-1020  C64165     DEBIT       00023754.80    050371221   SETTLED
ACH-20260301-1021  C16169     DEBIT       00014957.35    098652343   SETTLED
ACH-20260301-1022  C41237     CREDIT      00020586.11    037913867   SETTLED
ACH-20260301-1023  C19150     CREDIT      00001429.42    019622814   SETTLED
ACH-20260301-1024  C17735     CREDIT      00017833.78    039463442   SETTLED
ACH-20260301-1025  C45534     DEBIT       00008082.68    037437320   SETTLED
ACH-20260301-1026  C39030     DEBIT       00011235.90    047298725   RETURNED_ACT_CLOSED
ACH-20260301-1027  C75196     DEBIT       00008741.34    047695395   SETTLED
ACH-20260301-1028  C71385     CREDIT      00023173.28    097228192   SETTLED
ACH-20260301-1029  C10141     CREDIT      00014208.87    082069722   SUSPENDED_AML
ACH-20260301-1030  C50883     CREDIT      00003029.63    039784344   RETURNED_ACT_CLOSED
ACH-20260301-1031  C92334     DEBIT       00009770.61    042447615   SETTLED
ACH-20260301-1032  C41963     DEBIT       00012566.68    077213065   SETTLED
ACH-20260301-1033  C87221     CREDIT      00012021.31    049045186   RETURNED_NSF
ACH-20260301-1034  C37312     CREDIT      00012902.54    094021620   SETTLED
ACH-20260301-1035  C86484     DEBIT       00005171.36    079722265   RETURNED_NSF
ACH-20260301-1036  C28690     CREDIT      00021749.72    036487977   SETTLED
ACH-20260301-1037  C23487     CREDIT      00002590.85    018488743   SETTLED
ACH-20260301-1038  C16590     DEBIT       00012871.59    012821526   SETTLED
ACH-20260301-1039  C74032     DEBIT       00019605.00    053391457   SETTLED
ACH-20260301-1040  C56538     CREDIT      00016383.68    030065593   SETTLED
ACH-20260301-1041  C87497     CREDIT      00024150.86    086770084   SETTLED
ACH-20260301-1042  C95341     CREDIT      00023214.70    053735763   SETTLED
ACH-20260301-1043  C94794     CREDIT      00003717.90    054763088   SETTLED
ACH-20260301-1044  C96973     CREDIT      00007342.64    086635802   SETTLED
ACH-20260301-1045  C33561     DEBIT       00001889.53    091076929   SETTLED
ACH-20260301-1046  C22597     CREDIT      00017464.53    049498284   SUSPENDED_AML
ACH-20260301-1047  C41571     CREDIT      00017535.92    095090164   SETTLED
ACH-20260301-1048  C51145     CREDIT      00019213.04    011670422   RETURNED_ACT_CLOSED
ACH-20260301-1049  C14237     DEBIT       00004804.90    072775099   SETTLED
ACH-20260301-1050  C55811     CREDIT      00019933.94    030818803   SETTLED
ACH-20260301-1051  C98471     DEBIT       00006099.74    068009096   SETTLED
ACH-20260301-1052  C94918     CREDIT      00014451.16    084057728   SETTLED
ACH-20260301-1053  C66057     DEBIT       00018189.22    084384038   SETTLED
ACH-20260301-1054  C60205     DEBIT       00017196.55    046770408   RETURNED_ACT_CLOSED
ACH-20260301-1055  C29408     DEBIT       00019139.50    026497871   SETTLED
ACH-20260301-1056  C81920     DEBIT       00004618.72    091819116   RETURNED_ACT_CLOSED
ACH-20260301-1057  C90120     CREDIT      00016491.75    085708919   RETURNED_NSF
ACH-20260301-1058  C58368     CREDIT      00015853.16    013664795   SETTLED
ACH-20260301-1059  C67080     DEBIT       00022499.20    015894948   SETTLED
ACH-20260301-1060  C60906     CREDIT      00012221.42    011579567   SUSPENDED_AML
ACH-20260301-1061  C56336     DEBIT       00017032.28    062449723   SUSPENDED_AML
ACH-20260301-1062  C59692     DEBIT       00016335.04    076431626   RETURNED_NSF
ACH-20260301-1063  C18968     DEBIT       00016626.04    064578927   SUSPENDED_AML
ACH-20260301-1064  C65026     DEBIT       00017600.46    097942854   RETURNED_NSF
ACH-20260301-1065  C37719     CREDIT      00024539.68    086207286   SETTLED
ACH-20260301-1066  C18320     CREDIT      00022505.15    096777271   RETURNED_ACT_CLOSED
ACH-20260301-1067  C91609     CREDIT      00015182.72    023140595   SETTLED
ACH-20260301-1068  C42493     DEBIT       00002873.20    027401351   SETTLED
ACH-20260301-1069  C78761     CREDIT      00015965.65    053608913   SETTLED
ACH-20260301-1070  C72816     DEBIT       00007741.90    086118707   SETTLED
ACH-20260301-1071  C27889     DEBIT       00001640.30    074756073   SETTLED
ACH-20260301-1072  C64898     CREDIT      00013249.19    081165560   RETURNED_ACT_CLOSED
ACH-20260301-1073  C63271     DEBIT       00016774.33    093779891   SETTLED
ACH-20260301-1074  C66057     DEBIT       00005250.33    075121346   RETURNED_NSF
ACH-20260301-1075  C87054     CREDIT      00024417.17    013473997   SETTLED
ACH-20260301-1076  C27273     CREDIT      00024586.84    034801224   SUSPENDED_AML
ACH-20260301-1077  C57447     CREDIT      00017749.37    048472439   SUSPENDED_AML
ACH-20260301-1078  C80651     DEBIT       00009665.53    024688377   SETTLED
ACH-20260301-1079  C94057     DEBIT       00019835.07    039808014   SETTLED
ACH-20260301-1080  C94028     DEBIT       00010520.09    074774247   SETTLED
ACH-20260301-1081  C96627     CREDIT      00013387.70    030722999   RETURNED_ACT_CLOSED
ACH-20260301-1082  C10942     DEBIT       00017928.96    038650918   SETTLED
ACH-20260301-1083  C93395     DEBIT       00009974.79    064915005   SETTLED
ACH-20260301-1084  C69575     DEBIT       00005011.13    049716589   SUSPENDED_AML
ACH-20260301-1085  C68658     DEBIT       00003154.63    017757464   SETTLED
ACH-20260301-1086  C90940     DEBIT       00009776.84    016496294   RETURNED_ACT_CLOSED
ACH-20260301-1087  C96782     DEBIT       00003992.48    029555339   RETURNED_NSF
ACH-20260301-1088  C43226     CREDIT      00023332.56    085570603   SUSPENDED_AML
ACH-20260301-1089  C28896     CREDIT      00004238.80    080525007   SETTLED
ACH-20260301-1090  C96557     CREDIT      00011740.92    071066929   RETURNED_NSF
ACH-20260301-1091  C57609     DEBIT       00000523.68    044318973   SUSPENDED_AML
ACH-20260301-1092  C41186     CREDIT      00011204.78    081815205   SUSPENDED_AML
ACH-20260301-1093  C73067     CREDIT      00008854.53    063476386   RETURNED_ACT_CLOSED
ACH-20260301-1094  C82102     DEBIT       00019429.35    066099715   SETTLED
ACH-20260301-1095  C63354     DEBIT       00020823.44    054630392   SUSPENDED_AML
ACH-20260301-1096  C92093     DEBIT       00013520.79    034383150   RETURNED_NSF
ACH-20260301-1097  C78161     CREDIT      00022629.12    020429766   SETTLED
ACH-20260301-1098  C38887     DEBIT       00012305.41    082828917   RETURNED_NSF
ACH-20260301-1099  C17663     DEBIT       00011761.67    071455046   SUSPENDED_AML
ACH-20260301-1100  C77610     DEBIT       00009689.43    065817625   SETTLED
ACH-20260301-1101  C16062     CREDIT      00016755.49    039798461   RETURNED_NSF
ACH-20260301-1102  C75836     CREDIT      00007035.11    044220696   SETTLED
ACH-20260301-1103  C25525     DEBIT       00000491.80    038833995   SETTLED
ACH-20260301-1104  C92595     CREDIT      00005447.11    084471588   SETTLED
ACH-20260301-1105  C21448     CREDIT      00007070.25    069940515   SUSPENDED_AML
ACH-20260301-1106  C81803     DEBIT       00004107.56    068261377   SETTLED
ACH-20260301-1107  C89511     CREDIT      00002878.56    055475145   RETURNED_ACT_CLOSED
ACH-20260301-1108  C72445     DEBIT       00000361.44    023054142   RETURNED_NSF
ACH-20260301-1109  C19397     CREDIT      00005034.10    077584437   RETURNED_ACT_CLOSED
ACH-20260301-1110  C22408     DEBIT       00012707.12    030106545   SETTLED
ACH-20260301-1111  C82848     DEBIT       00002873.58    040241290   SETTLED
